id,title_english,title_romaji,title_native,format,status,episodes,season,season_year,average_score,mean_score,popularity,favourites,genres,tags,tag_categories,main_studio
16498,Attack on Titan,Shingeki no Kyojin,進撃の巨人,TV,FINISHED,25,SPRING,2013,85,85,982270,77180,Action|Drama|Fantasy|Mystery,Kaiju|Revenge|Military|Post-Apocalyptic|Primarily Teen Cast|Male Protagonist|Gore|Steampunk|Swordplay|Dystopian|Vore|Ensemble Cast|Orphan|Kuudere|Shounen|Coming of Age|Survival|Medieval|Time Skip|Rural|Primarily Male Cast|Adoption,Theme-Fantasy|Theme-Drama|Theme-Other-Organisations|Setting-Universe|Cast-Main Cast|Cast-Main Cast|Theme-Other|Theme-Fantasy|Theme-Action|Setting-Time|Sexual Content|Cast-Main Cast|Cast-Traits|Cast-Traits|Demographic|Theme-Drama|Theme-Other|Setting-Time|Setting-Time|Setting-Scene|Cast-Main Cast|Theme-Other,WIT STUDIO
101922,Demon Slayer: Kimetsu no Yaiba,Kimetsu no Yaiba,鬼滅の刃,TV,FINISHED,26,SPRING,2019,83,83,930136,55501,Action|Adventure|Drama|Fantasy|Supernatural,Demons|Shounen|Swordplay|Male Protagonist|Vampire|Tragedy|Primarily Teen Cast|Travel|Monster Girl|Revenge|Orphan|Gore|CGI|Primarily Male Cast|Mythology|Rural|Historical|Rotoscoping|Body Horror|Super Power|Curses|Chibi|Time Skip|Animals|Food,Cast-Traits|Demographic|Theme-Action|Cast-Main Cast|Cast-Traits|Theme-Drama|Cast-Main Cast|Theme-Other|Cast-Traits|Theme-Drama|Cast-Traits|Theme-Other|Technical|Cast-Main Cast|Theme-Fantasy|Setting-Scene|Setting-Time|Technical|Theme-Other|Theme-Fantasy|Theme-Fantasy|Theme-Other|Setting-Time|Theme-Other|Theme-Arts,ufotable
113415,JUJUTSU KAISEN,Jujutsu Kaisen,呪術廻戦,TV,FINISHED,24,FALL,2020,84,84,895549,63136,Action|Drama|Supernatural,Urban Fantasy|Shounen|Curses|Super Power|Youkai|Male Protagonist|Primarily Teen Cast|Exorcism|Dissociative Identities|Demons|Orphan|Urban|Body Horror|Primarily Male Cast|Magic|Martial Arts|Ensemble Cast|Gore|Swordplay|Anthropomorphism|School|Rotoscoping|Slapstick|Mythology|Boarding School|Archery|Twins|Surreal Comedy|Baseball,Setting-Universe|Demographic|Theme-Fantasy|Theme-Fantasy|Theme-Fantasy|Cast-Main Cast|Cast-Main Cast|Theme-Fantasy|Cast-Traits|Cast-Traits|Cast-Traits|Setting-Scene|Theme-Other|Cast-Main Cast|Theme-Fantasy|Theme-Action|Cast-Main Cast|Theme-Other|Theme-Action|Cast-Traits|Setting-Scene|Technical|Theme-Comedy|Theme-Fantasy|Setting-Scene|Theme-Action|Cast-Traits|Theme-Comedy|Theme-Game-Sport,MAPPA
1535,Death Note,DEATH NOTE,DEATH NOTE,TV,FINISHED,37,FALL,2006,84,84,895269,59373,Mystery|Psychological|Supernatural|Thriller,Crime|Detective|Anti-Hero|Male Protagonist|Fugitive|Police|Philosophy|Primarily Adult Cast|Gods|Urban Fantasy|Urban|Unrequited Love|Primarily Male Cast|Shounen|Espionage|Yandere|Acting|Assassins|Time Skip|Asexual|Achronological Order,Theme-Other|Cast-Traits|Cast-Main Cast|Cast-Main Cast|Theme-Action|Theme-Other-Organisations|Theme-Other|Cast-Main Cast|Cast-Traits|Setting-Universe|Setting-Scene|Theme-Romance|Cast-Main Cast|Demographic|Theme-Action|Cast-Traits|Theme-Arts|Theme-Other-Organisations|Setting-Time|Cast-Traits|Setting-Time,MADHOUSE
21459,My Hero Academia,Boku no Hero Academia,僕のヒーローアカデミア,TV,FINISHED,13,SPRING,2016,77,77,821300,31573,Action|Adventure|Comedy,Super Power|Superhero|Shounen|Primarily Teen Cast|Male Protagonist|School|Urban Fantasy|Crime|Ensemble Cast|Rescue|Bullying|Primarily Male Cast|Cultivation|Prison,Theme-Fantasy|Theme-Fantasy|Demographic|Cast-Main Cast|Cast-Main Cast|Setting-Scene|Setting-Universe|Theme-Other|Cast-Main Cast|Theme-Other|Theme-Drama|Cast-Main Cast|Theme-Fantasy|Setting-Scene,bones
11061,Hunter x Hunter (2011),HUNTER×HUNTER (2011),HUNTER×HUNTER (2011),TV,FINISHED,148,FALL,2011,89,89,786821,90169,Action|Adventure|Fantasy,Shounen|Super Power|Male Protagonist|Travel|Ensemble Cast|Martial Arts|Primarily Male Cast|Philosophy|Anthropomorphism|Primarily Teen Cast|Crime|Urban Fantasy|Environmental|Assassins|Coming of Age|Criminal Organization|Mafia|Anti-Hero|Card Battle|Gangs|Shogi|Gore|Animals|Video Games|Board Game|Yandere,Demographic|Theme-Fantasy|Cast-Main Cast|Theme-Other|Cast-Main Cast|Theme-Action|Cast-Main Cast|Theme-Other|Cast-Traits|Cast-Main Cast|Theme-Other|Setting-Universe|Theme-Other|Theme-Other-Organisations|Theme-Drama|Theme-Other-Organisations|Theme-Other-Organisations|Cast-Main Cast|Theme-Game-Card & Board Game|Theme-Other-Organisations|Theme-Game-Card & Board Game|Theme-Other|Theme-Other|Theme-Game|Theme-Game|Cast-Traits,MADHOUSE
21087,One-Punch Man,One Punch Man,ワンパンマン,TV,FINISHED,12,FALL,2015,83,83,725327,31093,Action|Comedy|Sci-Fi|Supernatural,Superhero|Super Power|Parody|Male Protagonist|Satire|Surreal Comedy|Urban Fantasy|Urban|Cyborg|Primarily Adult Cast|Kaiju|Seinen|Aliens|Cultivation|Anthropomorphism|Primarily Male Cast|Martial Arts|Demons|Henshin,Theme-Fantasy|Theme-Fantasy|Theme-Comedy|Cast-Main Cast|Theme-Comedy|Theme-Comedy|Setting-Universe|Setting-Scene|Cast-Traits|Cast-Main Cast|Theme-Fantasy|Demographic|Cast-Traits|Theme-Fantasy|Cast-Traits|Cast-Main Cast|Theme-Action|Cast-Traits|Theme-Fantasy,MADHOUSE
20605,Tokyo Ghoul,Tokyo Ghoul,東京喰種 トーキョーグール,TV,FINISHED,12,SUMMER,2014,76,76,694768,24735,Action|Drama|Horror|Mystery|Psychological|Supernatural,Gore|Urban Fantasy|Survival|Body Horror|Male Protagonist|Henshin|Seinen|Anti-Hero|Coming of Age|Cannibalism|Urban|Police|Detective|Crime|Primarily Adult Cast|Mythology|College|Heterosexual|Femboy,Theme-Other|Setting-Universe|Theme-Other|Theme-Other|Cast-Main Cast|Theme-Fantasy|Demographic|Cast-Main Cast|Theme-Drama|Theme-Other|Setting-Scene|Theme-Other-Organisations|Cast-Traits|Theme-Other|Cast-Main Cast|Theme-Fantasy|Setting-Scene|Theme-Romance|Cast-Traits,Studio Pierrot
20958,Attack on Titan Season 2,Shingeki no Kyojin Season 2,進撃の巨人 Season２,TV,FINISHED,12,SPRING,2017,85,85,689074,19904,Action|Drama|Fantasy|Mystery,Survival|Post-Apocalyptic|Shapeshifting|Military|Kaiju|Dystopian|Primarily Teen Cast|Gore|Revenge|Politics|Henshin|Medieval|Ensemble Cast|Super Power|Shounen|Male Protagonist|Dissociative Identities|Coming of Age|Steampunk|Cannibalism|Kuudere|Primarily Male Cast|CGI|Swordplay|Primarily Adult Cast|Unrequited Love|Rural,Theme-Other|Setting-Universe|Theme-Fantasy|Theme-Other-Organisations|Theme-Fantasy|Setting-Time|Cast-Main Cast|Theme-Other|Theme-Drama|Theme-Other|Theme-Fantasy|Setting-Time|Cast-Main Cast|Theme-Fantasy|Demographic|Cast-Main Cast|Cast-Traits|Theme-Drama|Theme-Fantasy|Theme-Other|Cast-Traits|Cast-Main Cast|Technical|Theme-Action|Cast-Main Cast|Theme-Romance|Setting-Scene,WIT STUDIO
21,ONE PIECE,ONE PIECE,ONE PIECE,TV,RELEASING,,FALL,1999,87,87,686493,100335,Action|Adventure|Comedy|Drama|Fantasy,Pirates|Travel|Shounen|Ensemble Cast|Super Power|Found Family|Male Protagonist|Ships|Conspiracy|Slapstick|Politics|War|Dystopian|Fugitive|Crime|Lost Civilization|Swordplay|Monster Boy|Anthropomorphism|Shapeshifting|Cyborg|Food|Primarily Adult Cast|Animals|Anti-Hero|Skeleton|Medicine|Samurai|Anachronism|Guns|Robots|Desert|Post-Apocalyptic|Indigenous Cultures|Kuudere|Drugs|Asexual|Monster Girl|Fairy|Nudity|Assassins|Battle Royale|Adoption|Demons|Mermaid|Ninja|Aromantic|Kabuki|Gender Bending|Musical Theater|Clone|Angels|Zombie|CGI|LGBTQ+ Themes|Trains|Unrequited Love,Cast-Traits|Theme-Other|Demographic|Cast-Main Cast|Theme-Fantasy|Theme-Other|Cast-Main Cast|Theme-Other-Vehicle|Theme-Drama|Theme-Comedy|Theme-Other|Theme-Other|Setting-Time|Theme-Action|Theme-Other|Theme-Other|Theme-Action|Cast-Traits|Cast-Traits|Theme-Fantasy|Cast-Traits|Theme-Arts|Cast-Main Cast|Theme-Other|Cast-Main Cast|Cast-Traits|Theme-Other|Cast-Traits|Setting-Time|Theme-Action|Cast-Traits|Setting-Scene|Setting-Universe|Theme-Other|Cast-Traits|Theme-Other|Cast-Traits|Cast-Traits|Cast-Traits|Cast-Traits|Theme-Other-Organisations|Theme-Action|Theme-Other|Cast-Traits|Cast-Traits|Cast-Traits|Cast-Traits|Theme-Arts|Theme-Other|Theme-Arts-Music|Cast-Traits|Cast-Traits|Cast-Traits|Technical|Theme-Other|Theme-Other-Vehicle|Theme-Romance,Toei Animation
