id,title_english,title_romaji,title_native,format,status,episodes,season,season_year,average_score,mean_score,popularity,favourites,genres,tags,tag_categories,sp_tags,main_studio,prequel_id,sequel_id
1347,Bubblegum Crisis,Bubblegum Crisis,バブルガムクライシス,OVA,FINISHED,8,WINTER,1987,70,70,19300,347,Action|Mecha|Sci-Fi,Cyberpunk|Robots|Police|Female Protagonist|Primarily Female Cast|Tokusatsu|Ensemble Cast|Primarily Adult Cast|Motorcycles|Guns|Episodic|Tragedy|Tanned Skin|Cars|Band|Idol|Orphan|Nudity|Gore|LGBTQ+ Themes|Photography|Super Power|Unrequited Love,Theme-Sci-Fi|Cast-Traits|Theme-Other-Organisations|Cast-Main Cast|Cast-Main Cast|Theme-Sci-Fi|Cast-Main Cast|Cast-Main Cast|Theme-Other-Vehicle|Theme-Action|Technical|Theme-Drama|Cast-Traits|Theme-Other-Vehicle|Theme-Arts-Music|Cast-Traits|Cast-Traits|Cast-Traits|Theme-Other|Theme-Other|Theme-Arts|Theme-Fantasy|Theme-Romance,Revenge,AIC,1346,1348
19759,,Ansatsu Kyoushitsu: Jump Festa 2013 Special,暗殺教室,SPECIAL,FINISHED,1,FALL,2013,68,68,19296,137,Action|Comedy|Supernatural,Assassins|School|Cultivation|Teacher|Ensemble Cast|Super Power|Guns|Shounen|Anti-Hero|Male Protagonist|Aliens,Theme-Other-Organisations|Setting-Scene|Theme-Fantasy|Cast-Traits|Cast-Main Cast|Theme-Fantasy|Theme-Action|Demographic|Cast-Main Cast|Cast-Main Cast|Cast-Traits,,Brain's Base,,
834,,BLEACH: The Sealed Sword Frenzy,BLEACH The Sealed Sword Frenzy,SPECIAL,FINISHED,1,SPRING,2006,65,65,19294,154,Action|Adventure|Drama|Fantasy|Supernatural,Shounen|Swordplay|Kuudere|Male Protagonist|Urban Fantasy|Super Power,Demographic|Theme-Action|Cast-Traits|Cast-Main Cast|Setting-Universe|Theme-Fantasy,,Studio Pierrot,,
109928,Inu-Oh,Inu-ou,犬王,MOVIE,FINISHED,1,SPRING,2022,78,79,19289,540,Adventure|Music|Supernatural,Band|Musical Theater|Anachronism|Male Protagonist|Primarily Male Cast|Dancing|Historical|Tragedy|Disability|Rock Music|Curses|Acting|Time Skip|Samurai|Crossdressing|Demons,Theme-Arts-Music|Theme-Arts-Music|Setting-Time|Cast-Main Cast|Cast-Main Cast|Theme-Arts-Music|Setting-Time|Theme-Drama|Cast-Traits|Theme-Arts-Music|Theme-Fantasy|Theme-Arts|Setting-Time|Cast-Traits|Cast-Traits|Cast-Traits,Ghost|Gore,Science SARU,,
208,R.O.D - READ OR DIE,R.O.D -READ OR DIE-,R.O.D -READ OR DIE-,OVA,FINISHED,3,SPRING,2001,75,75,19277,1086,Action|Drama|Mystery|Sci-Fi,Super Power|Female Protagonist|Urban Fantasy|Foreign|Espionage|Primarily Adult Cast|Urban|Politics|Guns|Magic|Historical|Steampunk|CGI,Theme-Fantasy|Cast-Main Cast|Setting-Universe|Setting-Scene|Theme-Action|Cast-Main Cast|Setting-Scene|Theme-Other|Theme-Action|Theme-Fantasy|Setting-Time|Theme-Fantasy|Technical,LGBTQ+ Themes|Clone|Amnesia|Bisexual,Studio DEEN,,209
167142,YOUR FORMA,Your Forma,ユア・フォルマ,TV,FINISHED,13,SPRING,2025,59,60,19276,188,Action|Drama|Mystery|Sci-Fi,Female Protagonist|Detective|Crime|Cyberpunk|Police|Artificial Intelligence|Cyborg|Anthropomorphism|Primarily Adult Cast|Urban|Male Protagonist|Robots|Drugs,Cast-Main Cast|Cast-Traits|Theme-Other|Theme-Sci-Fi|Theme-Other-Organisations|Cast-Traits|Cast-Traits|Cast-Traits|Cast-Main Cast|Setting-Scene|Cast-Main Cast|Cast-Traits|Theme-Other,Memory Manipulation|Anti-Hero|Asexual|Tragedy|Revenge|Gore|Terrorism|Guns,Geno Studio,,
199112,There's No Freaking Way I'll Be Your Lover! Unless… ~Next Shine~,"Watashi ga Koibito ni Nareru Wake Nai jan, Muri Muri! (※Muri ja Nakatta!?): Next Shine!",わたしが恋人になれるわけないじゃん、ムリムリ! (※ムリじゃなかった!?)〜ネクストシャイン！〜,TV,FINISHED,5,WINTER,2026,80,80,19268,539,Comedy|Romance,Yuri|Female Protagonist|Primarily Female Cast|Female Harem|LGBTQ+ Themes|Primarily Teen Cast|Polyamorous|Otaku Culture|Rehabilitation|Cosplay|Hikikomori|Nudity|School|Urban,Theme-Romance|Cast-Main Cast|Cast-Main Cast|Theme-Romance|Theme-Other|Cast-Main Cast|Theme-Romance|Theme-Other|Theme-Drama|Cast-Traits|Cast-Traits|Cast-Traits|Setting-Scene|Setting-Scene,Love Triangle,studio MOTHER,184591,
12979,NARUTO Spin-Off: Rock Lee & His Ninja Pals,NARUTO SD Rock Lee no Seishun Full-Power Ninden,NARUTOナルトSD ロック・リーの青春フルパワー忍伝,TV,FINISHED,51,SPRING,2012,66,67,19254,260,Action|Comedy,Parody|Chibi|Ninja|Shounen|Crossdressing,Theme-Comedy|Theme-Other|Cast-Traits|Demographic|Cast-Traits,,,,
99938,Girls und Panzer das Finale - Part 1,Girls und Panzer: Saishuushou 1,ガールズ&パンツァー 最終章 第1話,MOVIE,FINISHED,1,FALL,2017,79,79,19253,316,Action|Sports,Tanks|Primarily Teen Cast|Cute Girls Doing Cute Things|Military|Primarily Female Cast|School Club|Female Protagonist|School|Ensemble Cast|CGI|Tomboy,Theme-Other-Vehicle|Cast-Main Cast|Theme-Slice of Life|Theme-Other-Organisations|Cast-Main Cast|Setting-Scene|Cast-Main Cast|Setting-Scene|Cast-Main Cast|Technical|Cast-Traits,Ships,Actas,21649,107208
179981,The Wrong Way to Use Healing Magic Season 2,Chiyu Mahou no Machigatta Tsukaikata 2nd Season,治癒魔法の間違った使い方 第2期,TV,NOT_YET_RELEASED,,,,,,19252,254,Action|Fantasy,Isekai|Male Protagonist,Theme-Fantasy|Cast-Main Cast,,,137908,
20930,,Etotama,えとたま,TV,FINISHED,12,SPRING,2015,65,65,19247,136,Action|Comedy|Fantasy,Battle Royale|Mythology|Shounen|Meta|Kemonomimi|Chibi|Primarily Female Cast|Nekomimi|Full CGI|Kuudere,Theme-Action|Theme-Fantasy|Demographic|Theme-Other|Cast-Traits|Theme-Other|Cast-Main Cast|Cast-Traits|Technical|Cast-Traits,,Shirogumi,,101216
21728,Brotherhood Final Fantasy XV,BROTHERHOOD FINAL FANTASY XV,BROTHERHOOD FINAL FANTASY XV,ONA,FINISHED,5,SPRING,2016,66,66,19241,151,Action|Adventure|Fantasy,Primarily Male Cast|Video Games|Coming of Age|Fishing,Cast-Main Cast|Theme-Game|Theme-Drama|Theme-Game-Sport,,A-1 Pictures,107624,21729
1606,Kekkaishi,Kekkaishi,結界師,TV,FINISHED,52,FALL,2006,72,73,19238,248,Action|Adventure|Comedy|Romance|Supernatural,Shounen|Youkai|Gods|Male Protagonist|School,Demographic|Theme-Fantasy|Cast-Traits|Cast-Main Cast|Setting-Scene,,Sunrise,,
100745,Captain Tsubasa (2018),Captain Tsubasa (2018),キャプテン翼,TV,FINISHED,52,SPRING,2018,71,71,19228,339,Action|Sports,Football|Male Protagonist|Shounen|Primarily Male Cast|Coming of Age|School Club|Primarily Child Cast|Time Skip,Theme-Game-Sport|Cast-Main Cast|Demographic|Cast-Main Cast|Theme-Drama|Setting-Scene|Cast-Main Cast|Setting-Time,,david production,,163024
183660,Kaya-chan Isn't Scary,Kaya-chan wa Kowakunai,カヤちゃんはコワくない,TV,FINISHED,12,WINTER,2026,72,72,19220,302,Comedy|Horror|Slice of Life,Female Protagonist|Primarily Child Cast|Seinen|Ghost|School|Super Power|Exorcism|Episodic|Curses|Urban Fantasy|Body Horror|Work|Cosmic Horror|Educational,Cast-Main Cast|Cast-Main Cast|Demographic|Cast-Traits|Setting-Scene|Theme-Fantasy|Theme-Fantasy|Technical|Theme-Fantasy|Setting-Universe|Theme-Other|Setting-Scene|Theme-Other|Theme-Other,Pregnancy|Revenge,East Fish Studio,,
170604,Vampire Dormitory,Vampire Dormitory,ヴァンパイア男子寮,TV,FINISHED,12,SPRING,2024,59,60,19211,272,Romance|Supernatural,Crossdressing|Shoujo|Vampire|Boarding School|Primarily Teen Cast|Primarily Male Cast|Cohabitation|Ensemble Cast|Kuudere|Tomboy|Female Protagonist|Heterosexual|Love Triangle|Urban Fantasy|School,Cast-Traits|Demographic|Cast-Traits|Setting-Scene|Cast-Main Cast|Cast-Main Cast|Theme-Romance|Cast-Main Cast|Cast-Traits|Cast-Traits|Cast-Main Cast|Theme-Romance|Theme-Romance|Setting-Universe|Setting-Scene,Gender Bending|Bisexual|LGBTQ+ Themes|Memory Manipulation|Netorare|Body Horror|Boys' Love,Studio Blanc,,
122148,Let's Make a Mug Too,Yakunara Mug Cup Mo,やくならマグカップも,TV_SHORT,FINISHED,12,SPRING,2021,64,64,19192,145,Comedy|Slice of Life,Cute Girls Doing Cute Things|Primarily Female Cast|Iyashikei|School Club|Rural|Educational|Female Protagonist|Primarily Teen Cast|Family Life|Food,Theme-Slice of Life|Cast-Main Cast|Theme-Slice of Life|Setting-Scene|Setting-Scene|Theme-Other|Cast-Main Cast|Cast-Main Cast|Theme-Slice of Life|Theme-Arts,,Nippon Animation,,135939
115069,D4DJ First Mix,D4DJ First Mix,D4DJ First Mix,TV,FINISHED,13,FALL,2020,74,75,19179,525,Music|Slice of Life,Full CGI|Primarily Female Cast|Female Protagonist|Cute Girls Doing Cute Things|Idol|School|Ensemble Cast|Urban|Primarily Teen Cast|Dancing|Otaku Culture|Tanned Skin|Tsundere|Tomboy|Drawing,Technical|Cast-Main Cast|Cast-Main Cast|Theme-Slice of Life|Cast-Traits|Setting-Scene|Cast-Main Cast|Setting-Scene|Cast-Main Cast|Theme-Arts-Music|Theme-Other|Cast-Traits|Cast-Traits|Cast-Traits|Theme-Arts,,SANZIGEN,,146321
