id,title_english,title_romaji,title_native,format,status,episodes,season,season_year,average_score,mean_score,popularity,favourites,genres,tags,tag_categories,main_studio
7593,,kiss×sis (TV),kiss×sis (TV),TV,FINISHED,12,SPRING,2010,59,59,101929,1041,Comedy|Ecchi|Romance|Slice of Life,Inseki|Female Harem|Twins|Love Triangle|Nudity|Watersports|Heterosexual|Seinen|School|Masturbation|Male Protagonist,Sexual Content|Theme-Romance|Cast-Traits|Theme-Romance|Cast-Traits|Sexual Content|Theme-Romance|Demographic|Setting-Scene|Sexual Content|Cast-Main Cast,feel.
1519,Black Lagoon: The Second Barrage,BLACK LAGOON: The Second Barrage,BLACK LAGOON The Second Barrage,TV,FINISHED,12,FALL,2006,80,80,101780,2176,Action|Adventure|Drama|Thriller,Crime|Guns|Anti-Hero|Gangs|Tomboy|Mafia|Pirates|Primarily Adult Cast|Assassins|Seinen|Female Protagonist|Foreign|Yakuza|Triads|Ships|Male Protagonist|Noir|Travel|Ensemble Cast|Suicide|Delinquents|Language Barrier|Twins|Nudity|Gore|Bowling,Theme-Other|Theme-Action|Cast-Main Cast|Theme-Other-Organisations|Cast-Traits|Theme-Other-Organisations|Cast-Traits|Cast-Main Cast|Theme-Other-Organisations|Demographic|Cast-Main Cast|Setting-Scene|Theme-Other-Organisations|Theme-Other-Organisations|Theme-Other-Vehicle|Cast-Main Cast|Theme-Other|Theme-Other|Cast-Main Cast|Theme-Drama|Cast-Traits|Theme-Other|Cast-Traits|Cast-Traits|Theme-Other|Theme-Game-Sport,MADHOUSE
172019,Dr. STONE SCIENCE FUTURE,Dr. STONE: SCIENCE FUTURE,Dr.STONE SCIENCE FUTURE,TV,FINISHED,12,WINTER,2025,82,82,101693,2170,Action|Adventure|Comedy|Sci-Fi,Post-Apocalyptic|Educational|Male Protagonist|Survival|Ensemble Cast|Ships|Foreign|Lost Civilization|Travel|Outdoor Activities|Coastal|Shounen|Aviation|Spearplay|Guns|Espionage|Military|War|Agriculture|Language Barrier|Swordplay|Found Family|Samurai|Space|Gambling|Butler|Tomboy,Setting-Universe|Theme-Other|Cast-Main Cast|Theme-Other|Cast-Main Cast|Theme-Other-Vehicle|Setting-Scene|Theme-Other|Theme-Other|Setting-Scene|Setting-Scene|Demographic|Theme-Other-Vehicle|Theme-Action|Theme-Action|Theme-Action|Theme-Other-Organisations|Theme-Other|Theme-Slice of Life|Theme-Other|Theme-Action|Theme-Other|Cast-Traits|Setting-Universe|Theme-Other|Cast-Traits|Cast-Traits,TMS Entertainment
143653,Insomniacs After School,Kimi wa Houkago Insomnia,君は放課後インソムニア,TV,FINISHED,13,SPRING,2023,80,80,101115,3000,Romance|Slice of Life,Coming of Age|Iyashikei|Primarily Teen Cast|Heterosexual|Photography|Seinen|Astronomy|School Club|Female Protagonist|Male Protagonist|School|Rural|Camping|Disability|Outdoor Activities|Animals|Tanned Skin|Swimming,Theme-Drama|Theme-Slice of Life|Cast-Main Cast|Theme-Romance|Theme-Arts|Demographic|Theme-Other|Setting-Scene|Cast-Main Cast|Cast-Main Cast|Setting-Scene|Setting-Scene|Setting-Scene|Cast-Traits|Setting-Scene|Theme-Other|Cast-Traits|Theme-Game-Sport,LIDENFILMS
99424,SSSS.GRIDMAN,SSSS.GRIDMAN,SSSS.GRIDMAN,TV,FINISHED,12,FALL,2018,71,71,101055,1804,Action|Mecha|Sci-Fi,Tokusatsu|Kaiju|Super Robot|Denpa|Alternate Universe|Memory Manipulation|Virtual World|Meta|Ensemble Cast|Anti-Hero|Henshin|Hikikomori|Gods|Amnesia|Female Protagonist|Yandere|CGI|Male Protagonist|School|Aliens|Mixed Media|Episodic|Gore|Superhero|Villainess|Love Triangle,Theme-Sci-Fi|Theme-Fantasy|Theme-Sci-Fi-Mecha|Theme-Other|Setting-Universe|Theme-Other|Setting-Universe|Theme-Other|Cast-Main Cast|Cast-Main Cast|Theme-Fantasy|Cast-Traits|Cast-Traits|Cast-Traits|Cast-Main Cast|Cast-Traits|Technical|Cast-Main Cast|Setting-Scene|Cast-Traits|Technical|Technical|Theme-Other|Theme-Fantasy|Cast-Traits|Theme-Romance,TRIGGER
140457,I'm Quitting Heroing,"Yuusha, Yamemasu",勇者、辞めます,TV,FINISHED,12,SPRING,2022,69,69,101016,1734,Action|Adventure|Comedy|Fantasy,Lost Civilization|Magic|Male Protagonist|Post-Apocalyptic|Super Power|Anti-Hero|Dystopian|Demons|Primarily Adult Cast|Kemonomimi|Suicide|Philosophy|Swordplay|Revenge|Work|Female Protagonist|Tsundere|Elf|War|Medieval|Kingdom Management,Theme-Other|Theme-Fantasy|Cast-Main Cast|Setting-Universe|Theme-Fantasy|Cast-Main Cast|Setting-Time|Cast-Traits|Cast-Main Cast|Cast-Traits|Theme-Drama|Theme-Other|Theme-Action|Theme-Drama|Setting-Scene|Cast-Main Cast|Cast-Traits|Cast-Traits|Theme-Other|Setting-Time|Theme-Drama,EMT Squared
20632,ALDNOAH.ZERO,Aldnoah.Zero,アルドノア・ゼロ,TV,FINISHED,12,SUMMER,2014,70,70,100900,1647,Action|Mecha|Sci-Fi,War|Military|Conspiracy|Post-Apocalyptic|Space Opera|Real Robot|Male Protagonist|Guns|Lost Civilization|Politics|Female Protagonist|Space|Revenge|Ensemble Cast|Tragedy|Unrequited Love|CGI|Torture|Educational|Assassins,Theme-Other|Theme-Other-Organisations|Theme-Drama|Setting-Universe|Theme-Sci-Fi|Theme-Sci-Fi-Mecha|Cast-Main Cast|Theme-Action|Theme-Other|Theme-Other|Cast-Main Cast|Setting-Universe|Theme-Drama|Cast-Main Cast|Theme-Drama|Theme-Romance|Technical|Theme-Other|Theme-Other|Theme-Other-Organisations,A-1 Pictures
530,Sailor Moon,Bishoujo Senshi Sailor Moon,美少女戦士セーラームーン,TV,FINISHED,46,WINTER,1992,76,76,100893,4302,Action|Adventure|Fantasy|Mahou Shoujo|Romance,Magic|Shoujo|Female Protagonist|Henshin|Primarily Female Cast|Urban Fantasy|Super Power|Demons|Heterosexual|Found Family|Amnesia|Slapstick|Reincarnation|Coming of Age|Ensemble Cast|Fairy Tale|Primarily Teen Cast|Urban|Animals|School|Episodic|Superhero|Tragedy|Mythology|War|Dissociative Identities|Revenge|Aliens|Space|Tokusatsu|Body Horror|Shrine Maiden|LGBTQ+ Themes|Age Gap|Unrequited Love|Time Manipulation|Makeup|Suicide|Boys' Love,Theme-Fantasy|Demographic|Cast-Main Cast|Theme-Fantasy|Cast-Main Cast|Setting-Universe|Theme-Fantasy|Cast-Traits|Theme-Romance|Theme-Other|Cast-Traits|Theme-Comedy|Theme-Other|Theme-Drama|Cast-Main Cast|Theme-Fantasy|Cast-Main Cast|Setting-Scene|Theme-Other|Setting-Scene|Technical|Theme-Fantasy|Theme-Drama|Theme-Fantasy|Theme-Other|Cast-Traits|Theme-Drama|Cast-Traits|Setting-Universe|Theme-Sci-Fi|Theme-Other|Cast-Traits|Theme-Other|Theme-Romance|Theme-Romance|Theme-Sci-Fi|Theme-Arts|Theme-Drama|Theme-Romance,Toei Animation
132473,The Faraway Paladin,Saihate no Paladin,最果てのパラディン,TV,FINISHED,12,FALL,2021,68,68,100890,1341,Action|Adventure|Fantasy|Mystery|Psychological,Demons|Coming of Age|Religion|Mythology|Adoption|Gods|Magic|Afterlife|Isekai|Swordplay|Reincarnation|Found Family|Post-Apocalyptic|Skeleton|Ensemble Cast|Dragons|Elf|Rural|Necromancy|CGI|Chimera|Lost Civilization|Philosophy|Travel|Medieval|Spearplay|Time Skip|Archery,Cast-Traits|Theme-Drama|Theme-Other|Theme-Fantasy|Theme-Other|Cast-Traits|Theme-Fantasy|Setting-Universe|Theme-Fantasy|Theme-Action|Theme-Other|Theme-Other|Setting-Universe|Cast-Traits|Cast-Main Cast|Cast-Traits|Cast-Traits|Setting-Scene|Theme-Fantasy|Technical|Cast-Traits|Theme-Other|Theme-Other|Theme-Other|Setting-Time|Theme-Action|Setting-Time|Theme-Action,Children's Playground Entertainment
14967,Haganai NEXT,Boku wa Tomodachi ga Sukunai NEXT,僕は友達が少ない NEXT,TV,FINISHED,12,WINTER,2013,69,69,100882,854,Comedy|Ecchi|Romance|Slice of Life,School Club|Female Harem|Male Protagonist|Heterosexual|Love Triangle|Video Games|School|Meta|Crossdressing|Chuunibyou|Nun|Nudity,Setting-Scene|Theme-Romance|Cast-Main Cast|Theme-Romance|Theme-Romance|Theme-Game|Setting-Scene|Theme-Other|Cast-Traits|Cast-Traits|Cast-Traits|Cast-Traits,AIC Build
21180,Saekano: How to Raise a Boring Girlfriend ♭,Saenai Heroine no Sodatekata ♭,冴えない彼女の育てかた ♭,TV,FINISHED,12,SPRING,2017,76,76,100788,1816,Comedy|Romance|Slice of Life,Otaku Culture|Primarily Female Cast|Female Harem|Heterosexual|School Club|Video Games|Meta|Software Development|Tsundere|Male Protagonist|School|Writing|Kuudere|Primarily Teen Cast,Theme-Other|Cast-Main Cast|Theme-Romance|Theme-Romance|Setting-Scene|Theme-Game|Theme-Other|Theme-Other|Cast-Traits|Cast-Main Cast|Setting-Scene|Theme-Arts|Cast-Traits|Cast-Main Cast,A-1 Pictures
21686,"Kiss Him, Not Me",Watashi ga Motete Dousunda,私がモテてどうすんだ,TV,FINISHED,12,FALL,2016,66,66,100596,1510,Comedy|Romance,Male Harem|Female Protagonist|Otaku Culture|Mixed Gender Harem|Tomboy|Parody|Femboy|Shoujo|LGBTQ+ Themes|School|Body Image|Ojou-sama|Age Gap|Ensemble Cast|Heterosexual|School Club|Bisexual|Crossdressing|Yuri|Boys' Love,Theme-Romance|Cast-Main Cast|Theme-Other|Theme-Romance|Cast-Traits|Theme-Comedy|Cast-Traits|Demographic|Theme-Other|Setting-Scene|Theme-Other|Cast-Traits|Theme-Romance|Cast-Main Cast|Theme-Romance|Setting-Scene|Cast-Traits|Cast-Traits|Theme-Romance|Theme-Romance,Brain's Base
